n,z,k,bag_size,,ep_c,prob_c,ex_bag_c,opt_bag_c, ,ep_r,prob_r,ex_bag_r,opt_bag_r
10,4,3,2,,166.3006,187.7876,150.0263,149.133,,0.0007,0.0018,0.0132,0.0122
10,4,3,5,,166.3006,187.7876,149.133,149.133,,0.0008,0.0016,0.1198,0.12
10,4,4,2,,173.084,178.4756,150.0263,149.133,,0.0009,0.0018,0.0209,0.0212
10,4,4,5,,173.084,178.4756,149.133,149.133,,0.001,0.0019,0.4888,0.4869
50,4,3,2,,236.1797,232.1629,157.8394,157.8394,,0.0033,0.0076,0.2793,0.2655
50,4,3,5,,236.1797,232.1629,157.8394,157.8394,,0.0037,0.0079,2.8845,2.7717
50,4,4,2,,229.909,235.8651,183.6995,183.6995,,0.0035,0.0084,0.4527,0.4693
50,4,4,5,,229.909,235.8651,183.6995,183.6995,,0.0042,0.0082,11.8726,11.987
140,4,3,2,,177.7779,177.762,177.723,174.9857,,0.0087,0.0193,2.1453,2.1385
140,4,3,5,,177.7779,177.762,177.7091,174.9857,,0.0098,0.0204,22.5682,22.7417
140,4,4,2,,236.6737,235.8857,170.318,143.172,,0.0097,0.0237,3.8089,3.8262
140,4,4,5,,236.6737,235.8857,146.5368,143.172,,0.0102,0.0252,99.0688,105.854
10,9,3,2,,182.27,202.1115,144.8992,143.0895,,0.0008,0.002,0.0148,0.0148
10,9,3,5,,182.27,202.1115,143.0895,143.0895,,0.001,0.0018,0.15,0.1642
10,9,4,2,,177.3325,183.8489,151.9542,151.9542,,0.0009,0.0022,0.0276,0.0268
10,9,4,5,,177.3325,183.8489,150.7655,150.7655,,0.0011,0.0022,0.6233,0.6565
50,9,3,2,,231.8781,241.2033,210.5774,210.5774,,0.0034,0.0081,0.3355,0.3522
50,9,3,5,,231.8781,241.2033,210.5774,210.5774,,0.0039,0.009,3.5975,3.7409
50,9,4,2,,229.1843,240.7711,175.7539,175.7539,,0.0042,0.0111,0.6339,0.6311
50,9,4,5,,229.1843,240.7711,175.7539,175.7539,,0.0046,0.0114,15.6947,15.7379
140,9,3,2,,259.8559,259.8583,143.16,143.16,,0.0106,0.0255,2.8596,2.8035
140,9,3,5,,259.8559,259.8583,143.16,143.16,,0.0097,0.0232,30.095,30.147
140,9,4,2,,236.6738,235.8857,166.9059,144.6444,,0.011,0.0288,4.9059,5.1513
140,9,4,5,,236.6738,235.8857,149.2834,143.16,,0.0123,0.0343,129.5799,126.9377
