n,z,k,bag_size,,ep_c,prob_c,ex_bag_c,opt_bag_c, ,ep_r,prob_r,ex_bag_r,opt_bag_r
10,4,3,2,,119.2891,119.2891,119.1701,119.1701,,0.0006,0.0011,0.007,0.0068
10,4,3,5,,119.2891,119.2891,119.1701,119.1701,,0.0007,0.0011,0.0622,0.0616
10,4,4,2,,119.2876,119.2876,119.1701,119.1701,,0.0007,0.0012,0.0116,0.0109
10,4,4,5,,119.2876,119.2876,119.1701,119.1701,,0.0008,0.0012,0.2684,0.269
50,4,3,2,,145.5466,145.5466,133.1918,133.1918,,0.0027,0.0047,0.1407,0.1344
50,4,3,5,,145.5466,145.5466,133.1918,133.1918,,0.0026,0.0044,1.477,1.4529
50,4,4,2,,149.99,149.99,133.1918,133.1918,,0.0029,0.0055,0.2322,0.2297
50,4,4,5,,149.99,149.99,133.1918,133.1918,,0.003,0.0053,6.0466,5.9894
1253,4,3,2,,230.4337,230.511,115.3478,115.3478,,0.0604,0.1113,79.9333,84.2423
1253,4,3,5,,230.4337,230.511,115.3478,115.3478,,0.0575,0.101,898.8346,874.0455
1253,4,4,2,,229.747,229.7467,0.0,0.0,,0.0732,0.1348,146.4707,146.8121
1253,4,4,5,,229.747,229.7467,0.0,0.0,,0.0719,0.1347,3697.6971,3720.9664
10,9,3,2,,40.2709,22.3487,42.4118,22.4095,,0.0007,0.0011,0.0065,0.0064
10,9,3,5,,40.2709,22.3487,22.4095,22.4095,,0.0007,0.001,0.0608,0.0615
10,9,4,2,,40.2709,22.3873,42.4046,22.4655,,0.0006,0.0012,0.0098,0.0102
10,9,4,5,,40.2709,22.3873,22.4738,22.4655,,0.0009,0.0013,0.2437,0.2329
50,9,3,2,,158.8775,135.0187,115.2652,115.2652,,0.0025,0.0041,0.1268,0.124
50,9,3,5,,158.8775,135.0187,115.2652,115.2652,,0.0026,0.0043,1.421,1.4034
50,9,4,2,,146.9627,146.9627,115.2652,115.2652,,0.0028,0.0048,0.2158,0.2209
50,9,4,5,,146.9627,146.9627,115.2652,115.2652,,0.0029,0.005,5.8631,5.9991
1253,9,3,2,,230.4299,230.4299,115.348,115.348,,0.0597,0.099,84.301,80.3006
1253,9,3,5,,230.4299,230.4299,115.348,115.348,,0.0601,0.1006,898.3048,859.7791
1253,9,4,2,,229.4649,229.4646,0.0,0.0,,0.0718,0.1203,139.3739,139.6759
1253,9,4,5,,229.4649,229.4646,0.0,0.0,,0.0678,0.1252,3713.8716,3621.6158
