n,k,z,b,ep_c,prob_c,ex_bag_c,opt_bag_c,ep_r,prob_r,ex_bag_r,opt_bag_r
10,2,4,2,0.1924,0.1959,-1,-1,0.0008,0.0016,-1,-1
10,5,4,2,0.1664,0.1856,-1,-1,0.001,0.0029,-1,-1
100,2,4,3,0.2903,0.2964,-1,-1,0.0073,0.0156,-1,-1
100,2,4,6,0.2903,0.2964,-1,-1,0.0072,0.0172,-1,-1
500,2,4,3,0.2962,0.2969,-1,-1,0.0384,0.0836,-1,-1
500,2,4,6,0.2962,0.2969,-1,-1,0.0379,0.0881,-1,-1
1000,2,4,3,0.3155,0.3059,-1,-1,0.0764,0.1689,-1,-1
1000,2,4,6,0.3155,0.3059,-1,-1,0.0753,0.1651,-1,-1
2500,2,4,3,0.0,0.0,-1,-1,0.1727,0.4131,-1,-1
2500,2,4,6,0.0,0.0,-1,-1,0.1766,0.3953,-1,-1
100,5,9,3,0.271,0.2767,-1,-1,0.0123,0.0432,-1,-1
100,5,9,6,0.271,0.2767,-1,-1,0.0125,0.0435,-1,-1
500,5,9,3,0.2999,0.2999,-1,-1,0.0667,0.2257,-1,-1
500,5,9,6,0.2999,0.2999,-1,-1,0.0673,0.2462,-1,-1
1000,5,9,3,0.0,0.0,-1,-1,0.1304,0.4515,-1,-1
1000,5,9,6,0.0,0.0,-1,-1,0.1275,0.4522,-1,-1
2500,5,9,3,0.0,0.0,-1,-1,0.333,1.117,-1,-1
2500,5,9,6,0.0,0.0,-1,-1,0.3233,1.2062,-1,-1
500,10,16,3,0.0,0.0,-1,-1,0.1066,0.5711,-1,-1
500,10,16,6,0.0,0.0,-1,-1,0.1044,0.5694,-1,-1
1000,10,16,3,0.0,0.0,-1,-1,0.2092,1.18,-1,-1
1000,10,16,6,0.0,0.0,-1,-1,0.2277,1.1788,-1,-1
2500,10,16,3,0.0,0.0,-1,-1,0.5265,2.897,-1,-1
2500,10,16,6,0.0,0.0,-1,-1,0.5331,2.877,-1,-1
